Thorlabs Beam
Version: 7.0.4131.325
Date: 2019-05-16
Time: 11:06:47

Device: BP109-IR
S/N: M00230332

Resolution [µm]: 1.20
Sample Frequency [Hz]: 200000.00
Sample Count: 7504

Pos X [µm];X;Pos Y [µm];Y;
-4235.84;1.35e-04;-4130.05;4.66e-04;
-4234.65;1.52e-04;-4128.86;1.68e-04;
-4233.46;1.95e-04;-4127.68;-2.04e-04;
-4232.27;3.01e-04;-4126.49;-1.02e-04;
-4231.08;1.31e-04;-4125.31;-7.25e-05;
-4229.89;2.05e-04;-4124.12;-1.47e-04;
-4228.7;2.78e-04;-4122.94;1.82e-04;
-4227.51;4.14e-04;-4121.75;1.74e-04;
-4226.32;3.71e-04;-4120.57;-1.68e-04;
-4225.13;1.94e-04;-4119.38;1.30e-05;
-4223.94;7.75e-06;-4118.2;2.60e-04;
-4222.75;2.59e-04;-4117.01;-1.60e-04;
-4221.56;5.61e-04;-4115.83;7.56e-05;
-4220.37;4.15e-04;-4114.64;-2.81e-05;
-4219.18;-3.27e-05;-4113.46;1.67e-04;
-4217.99;6.07e-05;-4112.27;-1.42e-04;
-4216.8;3.02e-04;-4111.08;-7.88e-05;
-4215.61;2.68e-05;-4109.9;-6.37e-05;
-4214.43;5.87e-05;-4108.71;2.31e-04;
-4213.24;5.55e-04;-4107.53;8.64e-05;
-4212.05;4.54e-04;-4106.34;-4.34e-05;
-4210.86;3.49e-04;-4105.16;-2.32e-04;
-4209.67;-7.54e-05;-4103.97;-1.47e-05;
-4208.48;-1.83e-04;-4102.79;2.48e-04;
-4207.29;1.18e-04;-4101.6;2.20e-04;
-4206.1;4.47e-04;-4100.42;-6.19e-05;
-4204.91;7.27e-04;-4099.23;-1.40e-04;
-4203.72;2.61e-04;-4098.05;-8.42e-05;
-4202.53;3.73e-04;-4096.86;2.37e-04;
-4201.34;9.09e-05;-4095.68;1.39e-04;
-4200.15;-3.23e-04;-4094.49;-2.11e-04;
-4198.96;2.24e-04;-4093.31;9.89e-07;
-4197.77;5.71e-04;-4092.12;1.07e-05;
-4196.58;1.73e-04;-4090.93;-1.51e-04;
-4195.39;3.34e-05;-4089.75;6.34e-05;
-4194.2;3.46e-04;-4088.56;1.88e-04;
-4193.01;4.92e-04;-4087.38;3.24e-04;
-4191.82;4.01e-04;-4086.19;-1.55e-04;
-4190.63;1.64e-04;-4085.01;-2.78e-04;
-4189.44;2.11e-05;-4083.82;-2.33e-04;
-4188.25;2.89e-04;-4082.64;1.86e-04;
-4187.06;4.44e-04;-4081.45;3.21e-04;
-4185.87;4.81e-04;-4080.27;-1.65e-04;
-4184.68;1.60e-04;-4079.08;1.23e-04;
-4183.49;-3.08e-04;-4077.9;2.92e-05;
-4182.3;3.65e-04;-4076.71;-2.44e-04;
-4181.11;7.12e-04;-4075.53;2.62e-04;
-4179.92;2.59e-04;-4074.34;9.10e-05;
-4178.73;-2.12e-04;-4073.16;-1.16e-04;
-4177.54;2.31e-04;-4071.97;-6.59e-05;
-4176.35;5.21e-04;-4070.79;1.11e-04;
-4175.16;2.76e-04;-4069.6;1.26e-04;
-4173.97;-1.31e-04;-4068.41;-1.81e-04;
-4172.78;6.13e-05;-4067.23;-1.62e-04;
-4171.59;5.00e-04;-4066.04;3.48e-04;
-4170.4;3.19e-04;-4064.86;7.08e-05;
-4169.21;2.14e-04;-4063.67;-4.94e-05;
-4168.02;-5.49e-05;-4062.49;-7.25e-05;
-4166.83;2.81e-04;-4061.3;-1.89e-04;
